Plate information 
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Formula	Measurement date	
1	1		N/A	N/A	N/A	N/A	N/A	N/A	N/A	Calc 1: Crosstalk = Crosstalk correction where Label : AlphaScreen_Kenji(1) channel 1	6/21/2021 5:45:09 PM	

Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : AlphaScreen_Kenji(1) channel 1
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A	408499	463841	423850	440372	433721	443293	433727	433319	421016	421517	390537	385414	321477	314884	207309	200135	149193	148423	137136	140608	123556	131625	107372	109877	
B	399577	339109	337327	308829	338734	337381	333010	307910	322617	328592	328493	308376	269167	252234	175693	165894	129785	116040	122850	108950	115626	104947	103021	93499	
C	332553	346945	260264	260345	262507	325855	266466	262435	258610	347065	371317	378084	375630	369109	347017	345441	313647	309863	259828	264529	204372	214406	131517	144342	
D	393888	325145	312832	287765	314530	320741	313248	290421	310804	341210	370991	353547	361745	341096	342717	322773	310916	285847	262686	245347	213083	195236	148938	139224	
E	347795	341747	242375	255553	244372	319849	259981	256055	254946	343684	379926	382839	379774	381726	368064	372038	352319	358318	325123	335573	283775	302346	210194	224307	
F	394785	327283	306050	289823	308422	325075	311480	286966	308509	337700	379412	355636	376256	352527	368993	343063	357290	332617	331746	310679	299626	279146	227671	208035	
G	347233	336713	248482	247235	244347	312581	255744	246986	245447	325936	364613	356079	347806	337338	318795	311002	274443	270678	222110	221327	165426	165238	115741	113604	
H	391587	339669	325697	304026	325344	339300	324445	300502	317072	337498	355105	334424	335364	316284	309244	288425	268158	251480	219682	205903	165760	152565	118016	102382	
I	377729	385298	376515	379267	382015	384813	381100	379537	392647	379432	388141	373145	368287	368552	363070	364489	352543	353143	348042	338673	308260	309750	262509	257254	
J	388679	319320	380088	352407	383844	345657	382280	343823	378109	340760	374359	334278	370932	332702	361180	324649	351425	315488	334798	282824	308136	275509	259277	227122	
K	374102	378734	383782	381213	381882	377644	372165	374018	365235	363579	352712	351336	338390	335478	312427	307904	274047	270533	221572	223147	179422	181636	159555	157575	
L	386588	339572	378385	357895	376431	355446	373841	353596	366379	342780	352304	329333	333788	314774	310065	288248	270608	257115	219452	209710	178799	169507	163127	147632	
M	328167	383378	338009	362207	364973	376015	361893	370828	356907	365760	358412	349535	342800	336957	310876	317066	286770	284944	245031	249577	203493	206335	143303	147186	
N	387355	353646	358052	343086	373239	352255	372856	349198	360531	340080	352913	326243	334501	312854	314777	302457	286028	271062	245905	231967	204472	191825	152748	140654	
O	324752	379591	358948	377219	359138	374642	355866	373011	368265	364751	353953	355755	339686	344662	316576	321853	270650	287652	222066	241282	168153	186386	103625	117034	
P	386521	351696	374593	359535	375494	356608	373687	352645	366622	345157	356076	330856	340403	316906	317435	296082	290027	277496	241784	232968	186493	178613	120467	109163	

Plate information 
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Group	Label	ScanX	ScanY	Measinfo	Kinetics	Measurement date	
1	1		14.64	23.14	22.58	57.4	56.2	22.86	23.08	1	AlphaScreen_Kenji(1)	0	0	De=1st Ex=N/A Em=Top Wdw=N/A (14)	0	6/21/2021 5:45:09 PM	

Results for AlphaScreen_Kenji(1) - channel 1 (Counts)
